s01-cb.csv(10)	 	 	 	  	 s02-dma.csv(19)	 	 	 	  	 s03-ima-artists.xml(8)	 	 	 	  	 s04-ima-artworks.xml(19)	 	 	 	  	 s05-met.json(18)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(19)	 	 	 	  	 s08-s-17-edited.xml(8)	 	 	 	  	 s09-s-18-artists.json(6)	 	 	 	  	 s10-s-18-artworks.json(15)	 	 	 	  	 s11-s-19-artists.json(8)	 	 	 	  	 s12-s-19-artworks.json(12)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(14)	 	 	 	  	 s14-s-california-african-american.json(13)	 	 	 	  	 s15-s-detroit-institute-of-art.json(18)	 	 	 	  	 s16-s-hammer.xml(10)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(16)	 	 	 	  	 s18-s-indianapolis-artists.xml(8)	 	 	 	  	 s19-s-indianapolis-artworks.xml(19)	 	 	 	  	 s20-s-lacma.xml(14)	 	 	 	  	 s21-s-met.json(17)	 	 	 	  	 s22-s-moca.xml(10)	 	 	 	  	 s23-s-national-portrait-gallery.json(20)	 	 	 	  	 s24-s-norton-simon.json(13)	 	 	 	  	 s25-s-oakland-museum-paintings.json(16)	 	 	 	  	 s26-s-san-francisco-moma.json(17)	 	 	 	  	 s27-s-the-huntington.json(16)	 	 	 	  	 s28-wildlife-art.csv(23)	 	 	 	  	 s29-gilcrease.csv(14)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.008	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0
0.84	0.76	6.089	0.9	0.95 	 0.58	0.41	2.645	0.68	0.68 	 0.8	0.71	1.371	0.75	0.75 	 0.5	0.32	2.058	0.63	0.63 	 0.48	0.34	2.039	0.56	0.56 	 0.48	0.33	0.399	0.67	0.67 	 0.57	0.35	1.9	0.63	0.63 	 0.53	0.53	0.331	0.62	0.62 	 0.42	0.45	1.013	0.67	0.67 	 0.25	0.2	0.593	0.33	0.33 	 0.19	0.21	1.237	0.38	0.38 	 0.5	0.43	2.392	0.58	0.58 	 0.65	0.56	1.958	0.57	0.6 	 0.39	0.32	0.447	0.54	0.54 	 0.7	0.48	1.975	0.61	0.61 	 0.53	0.44	0.463	0.7	0.7 	 0.56	0.47	1.088	0.62	0.62 	 0.8	0.71	1.141	0.75	0.75 	 0.46	0.3	2.077	0.63	0.63 	 0.6	0.44	1.783	0.57	0.57 	 0.93	0.42	1.58	0.47	0.47 	 0.4	0.44	2.535	0.6	0.6 	 0.44	0.28	2.222	0.65	0.65 	 0.46	0.42	1.686	0.62	0.62 	 0.54	0.42	0.617	0.69	0.69 	 0.57	0.38	1.874	0.53	0.56 	 0.65	0.5	1.972	0.62	0.62 	 0.67	0.33	2.145	0.39	0.41 	 0.56	0.43	1.945	0.79	0.79
0.9	0.9	2.549	0.9	0.95 	 0.45	0.38	1.935	0.74	0.76 	 0.79	0.65	1.349	1.0	1.0 	 0.53	0.43	1.965	0.74	0.74 	 0.34	0.34	1.587	0.61	0.63 	 0.44	0.39	2.984	0.72	0.72 	 0.5	0.46	2.856	0.79	0.79 	 0.5	0.47	1.454	0.38	0.48 	 0.21	0.27	1.225	0.67	0.67 	 0.35	0.32	0.473	0.33	0.36 	 0.44	0.5	1.374	0.62	0.62 	 0.5	0.57	2.838	0.67	0.73 	 0.58	0.52	1.66	0.71	0.73 	 0.41	0.41	1.656	0.46	0.5 	 0.67	0.67	0.857	0.83	0.83 	 0.61	0.61	1.619	0.7	0.7 	 0.54	0.5	0.906	0.75	0.75 	 0.79	0.65	1.396	1.0	1.0 	 0.5	0.41	1.998	0.74	0.74 	 0.54	0.56	2.831	0.64	0.68 	 0.77	0.65	2.528	0.71	0.73 	 0.6	0.67	1.381	0.7	0.7 	 0.42	0.36	3.37	0.7	0.72 	 0.67	0.62	1.767	0.85	0.85 	 0.58	0.48	0.476	0.69	0.69 	 0.48	0.41	1.884	0.65	0.68 	 0.55	0.57	3.137	0.75	0.75 	 0.59	0.38	1.23	0.43	0.51 	 0.58	0.61	2.346	0.86	0.86
0.84	0.76	2.647	0.9	0.95 	 0.5	0.53	4.272	0.63	0.75 	 0.79	0.65	0.885	1.0	1.0 	 0.5	0.41	1.32	0.74	0.74 	 0.35	0.34	2.532	0.61	0.63 	 0.44	0.39	2.919	0.72	0.72 	 0.58	0.51	2.032	0.79	0.79 	 0.64	0.6	1.377	0.5	0.54 	 0.4	0.55	1.158	0.67	0.67 	 0.32	0.32	0.748	0.33	0.35 	 0.41	0.5	1.406	0.62	0.62 	 0.55	0.57	2.284	0.67	0.71 	 0.58	0.56	1.863	0.71	0.75 	 0.39	0.41	1.118	0.46	0.5 	 0.67	0.67	1.386	0.83	0.83 	 0.61	0.61	1.42	0.7	0.7 	 0.54	0.5	0.944	0.75	0.75 	 0.79	0.65	1.183	1.0	1.0 	 0.5	0.41	1.355	0.74	0.74 	 0.5	0.52	2.568	0.64	0.68 	 0.79	0.71	2.125	0.71	0.73 	 0.63	0.67	1.522	0.7	0.7 	 0.41	0.36	2.358	0.7	0.71 	 0.71	0.65	1.621	0.85	0.85 	 0.59	0.55	0.206	0.69	0.69 	 0.53	0.47	1.701	0.65	0.68 	 0.52	0.53	1.89	0.75	0.75 	 0.52	0.33	0.426	0.52	0.57 	 0.44	0.48	2.07	0.79	0.82
0.9	0.9	1.504	0.9	0.95 	 0.55	0.53	2.856	0.74	0.81 	 0.79	0.65	0.84	1.0	1.0 	 0.53	0.46	2.97	0.89	0.91 	 0.52	0.53	4.562	0.67	0.75 	 0.46	0.44	4.946	0.72	0.78 	 0.81	0.81	4.744	0.74	0.84 	 0.53	0.53	1.16	0.38	0.46 	 0.38	0.45	0.983	0.67	0.67 	 0.31	0.36	2.997	0.27	0.43 	 0.59	0.71	1.917	0.88	0.92 	 0.55	0.57	2.253	0.58	0.67 	 0.85	0.85	2.684	0.71	0.82 	 0.43	0.45	3.305	0.31	0.51 	 0.82	0.85	3.901	0.83	0.89 	 0.38	0.44	2.353	0.6	0.68 	 0.78	0.83	4.21	0.81	0.88 	 0.71	0.59	0.954	0.88	0.92 	 0.78	0.76	4.682	0.79	0.89 	 0.5	0.52	3.331	0.64	0.66 	 0.71	0.65	2.88	0.71	0.74 	 0.89	0.94	2.438	0.7	0.8 	 0.54	0.51	5.989	0.7	0.75 	 0.69	0.69	1.487	0.85	0.92 	 0.56	0.58	4.037	0.69	0.75 	 0.53	0.5	3.535	0.65	0.74 	 0.65	0.67	2.164	0.69	0.79 	 0.53	0.48	5.33	0.43	0.56 	 0.48	0.57	2.095	0.79	0.81
0.9	0.9	1.305	0.9	0.95 	 0.54	0.56	2.957	0.68	0.78 	 0.79	0.65	0.795	1.0	1.0 	 0.58	0.51	4.071	0.89	0.91 	 0.56	0.56	4.37	0.61	0.74 	 0.46	0.44	2.129	0.72	0.8 	 0.56	0.51	3.16	0.63	0.79 	 0.29	0.27	1.534	0.25	0.41 	 0.38	0.45	0.976	0.67	0.67 	 0.33	0.36	3.191	0.33	0.48 	 0.5	0.64	1.216	0.38	0.62 	 0.55	0.57	1.845	0.58	0.71 	 0.85	0.85	2.688	0.79	0.86 	 0.33	0.36	2.592	0.31	0.51 	 0.82	0.85	3.333	0.83	0.89 	 0.58	0.61	2.178	0.6	0.68 	 0.78	0.83	3.593	0.75	0.86 	 0.71	0.59	0.91	0.88	0.92 	 0.74	0.7	3.874	0.79	0.89 	 0.44	0.41	3.138	0.64	0.66 	 0.74	0.65	1.366	0.71	0.73 	 0.89	0.94	2.051	0.7	0.8 	 0.58	0.54	5.388	0.7	0.75 	 0.92	0.92	2.467	0.85	0.92 	 0.69	0.71	4.033	0.69	0.75 	 0.58	0.53	1.793	0.65	0.73 	 0.65	0.67	1.948	0.62	0.76 	 0.44	0.4	6.135	0.43	0.58 	 0.74	0.74	1.447	0.71	0.79
0.9	0.9	1.298	0.9	0.95 	 0.54	0.56	2.63	0.74	0.81 	 0.79	0.65	0.82	1.0	1.0 	 0.77	0.73	3.008	0.79	0.87 	 0.56	0.56	4.109	0.61	0.74 	 0.44	0.39	1.713	0.72	0.8 	 0.56	0.51	3.726	0.79	0.86 	 0.5	0.47	0.702	0.38	0.46 	 0.42	0.45	1.028	0.67	0.67 	 0.34	0.4	3.594	0.33	0.47 	 0.53	0.64	1.364	0.62	0.75 	 0.55	0.57	1.738	0.5	0.69 	 0.92	0.89	2.581	0.79	0.86 	 0.42	0.45	3.059	0.62	0.66 	 0.76	0.76	3.972	0.83	0.9 	 0.58	0.61	2.482	0.6	0.66 	 0.87	0.9	4.412	0.88	0.92 	 0.71	0.59	1.139	0.88	0.92 	 0.78	0.76	4.155	0.84	0.92 	 0.48	0.44	2.234	0.71	0.73 	 0.71	0.65	1.904	0.71	0.74 	 0.89	0.94	1.848	0.7	0.8 	 0.67	0.67	3.566	0.85	0.85 	 0.58	0.58	1.437	0.92	0.96 	 0.71	0.71	2.199	0.75	0.81 	 0.68	0.62	3.418	0.71	0.77 	 0.61	0.63	3.103	0.81	0.85 	 0.59	0.57	6.581	0.57	0.67 	 0.5	0.52	1.607	0.79	0.83
0.9	0.9	1.158	0.9	0.95 	 0.62	0.62	1.326	0.74	0.8 	 0.79	0.65	0.484	1.0	1.0 	 0.59	0.51	1.995	0.79	0.87 	 0.62	0.62	2.439	0.61	0.74 	 0.5	0.44	2.415	0.72	0.81 	 0.59	0.54	1.229	0.68	0.8 	 0.47	0.47	1.062	0.38	0.53 	 0.31	0.36	0.857	0.5	0.58 	 0.32	0.36	3.941	0.27	0.43 	 0.5	0.64	1.224	0.62	0.74 	 0.61	0.67	1.986	0.58	0.75 	 0.88	0.85	2.728	0.79	0.88 	 0.36	0.41	3.876	0.46	0.58 	 0.76	0.76	4.019	0.83	0.89 	 0.58	0.61	2.176	0.7	0.73 	 0.87	0.9	4.229	0.94	0.96 	 0.79	0.65	0.841	1.0	1.0 	 0.78	0.76	4.113	0.84	0.92 	 0.48	0.44	2.202	0.71	0.73 	 0.71	0.65	1.737	0.76	0.76 	 0.89	0.94	1.891	0.6	0.75 	 0.62	0.59	4.693	0.8	0.82 	 0.58	0.58	1.377	0.92	0.96 	 0.66	0.68	3.397	0.75	0.81 	 0.68	0.62	4.417	0.71	0.77 	 0.71	0.73	4.325	0.75	0.83 	 0.52	0.52	7.101	0.61	0.69 	 0.5	0.52	1.595	0.79	0.83
0.9	0.9	0.697	0.9	0.95 	 0.63	0.65	1.559	0.74	0.8 	 0.79	0.65	0.719	1.0	1.0 	 0.52	0.46	1.899	0.79	0.87 	 0.62	0.62	2.528	0.61	0.74 	 0.41	0.39	15.705	0.67	0.78 	 0.51	0.49	1.333	0.68	0.79 	 0.36	0.33	1.552	0.38	0.5 	 0.42	0.45	0.519	0.67	0.67 	 0.37	0.44	1.509	0.27	0.44 	 0.5	0.64	1.249	0.38	0.56 	 0.64	0.67	1.068	0.5	0.69 	 0.92	0.89	0.813	0.79	0.86 	 0.35	0.36	2.439	0.38	0.56 	 0.76	0.76	1.289	0.83	0.9 	 0.53	0.56	0.771	0.6	0.71 	 0.84	0.87	1.745	0.88	0.94 	 0.79	0.65	0.496	1.0	1.0 	 0.78	0.76	1.452	0.89	0.95 	 0.48	0.44	0.813	0.71	0.73 	 0.72	0.68	1.79	0.76	0.78 	 0.83	0.83	0.711	0.5	0.64 	 0.59	0.56	3.389	0.8	0.82 	 0.81	0.81	0.679	0.85	0.91 	 0.62	0.65	1.105	0.75	0.83 	 0.68	0.62	1.661	0.71	0.77 	 0.68	0.63	1.159	0.69	0.83 	 0.5	0.5	4.728	0.57	0.65 	 0.5	0.52	1.725	0.79	0.84
0.84	0.76	0.865	0.9	0.93 	 0.52	0.47	1.351	0.79	0.83 	 0.79	0.65	0.48	1.0	1.0 	 0.71	0.73	2.378	0.79	0.85 	 0.62	0.62	2.29	0.67	0.76 	 0.44	0.42	2.866	0.67	0.77 	 0.5	0.49	2.294	0.58	0.72 	 0.53	0.53	1.836	0.25	0.43 	 0.38	0.45	0.499	0.67	0.67 	 0.42	0.44	1.451	0.2	0.39 	 0.5	0.64	1.253	0.38	0.56 	 0.64	0.67	0.823	0.5	0.69 	 0.92	0.89	0.772	0.79	0.86 	 0.35	0.36	3.208	0.38	0.58 	 0.76	0.76	2.018	0.83	0.9 	 0.59	0.56	0.801	0.6	0.7 	 0.84	0.87	1.532	0.88	0.94 	 0.79	0.65	0.51	1.0	1.0 	 0.78	0.76	1.898	0.89	0.95 	 0.5	0.44	0.76	0.71	0.73 	 0.72	0.68	1.486	0.76	0.78 	 0.83	0.83	0.62	0.5	0.65 	 0.59	0.56	3.242	0.8	0.82 	 0.81	0.81	0.796	0.85	0.9 	 0.62	0.65	1.752	0.75	0.83 	 0.68	0.62	2.79	0.71	0.75 	 0.62	0.6	1.245	0.69	0.82 	 0.5	0.5	3.233	0.61	0.67 	 0.5	0.52	1.409	0.79	0.84
0.84	0.76	0.845	0.8	0.88 	 0.59	0.59	1.487	0.74	0.8 	 0.79	0.65	0.473	1.0	1.0 	 0.74	0.7	1.925	0.79	0.87 	 0.61	0.59	1.719	0.67	0.76 	 0.44	0.42	1.483	0.61	0.74 	 0.5	0.49	1.216	0.58	0.72 	 0.57	0.53	1.662	0.12	0.36 	 0.38	0.45	0.501	0.67	0.67 	 0.33	0.36	1.067	0.2	0.35 	 0.5	0.64	1.195	0.12	0.48 	 0.58	0.67	1.483	0.58	0.71 	 0.79	0.81	0.7	0.79	0.86 	 0.61	0.64	1.476	0.46	0.61 	 0.76	0.76	1.799	0.83	0.9 	 0.68	0.72	0.754	0.7	0.82 	 0.87	0.87	1.361	0.81	0.9 	 0.79	0.65	0.477	1.0	1.0 	 0.61	0.54	1.555	0.95	0.97 	 0.44	0.41	1.106	0.71	0.76 	 0.72	0.68	1.31	0.59	0.67 	 0.83	0.83	0.845	0.7	0.77 	 0.59	0.56	1.642	0.85	0.85 	 0.81	0.81	0.929	0.85	0.91 	 0.62	0.65	2.174	0.81	0.86 	 0.72	0.68	2.41	0.65	0.72 	 0.79	0.73	1.165	0.75	0.84 	 0.59	0.57	2.398	0.61	0.68 	 0.71	0.74	1.565	0.71	0.81
0.84	0.76	0.853	0.7	0.82 	 0.47	0.44	1.263	0.58	0.71 	 0.79	0.65	0.489	1.0	1.0 	 0.66	0.68	1.71	0.79	0.87 	 0.61	0.59	1.435	0.56	0.69 	 0.42	0.39	1.085	0.61	0.73 	 0.5	0.49	1.203	0.63	0.74 	 0.71	0.67	1.466	0.25	0.47 	 0.38	0.45	0.49	0.67	0.67 	 0.38	0.4	1.107	0.33	0.46 	 0.28	0.36	1.225	0.38	0.53 	 0.73	0.76	0.794	0.58	0.76 	 0.92	0.89	1.11	0.79	0.85 	 0.61	0.64	0.967	0.46	0.61 	 0.82	0.82	5.489	0.78	0.87 	 0.61	0.61	0.66	0.8	0.88 	 0.83	0.83	1.193	0.81	0.89 	 0.79	0.65	0.489	1.0	1.0 	 0.72	0.62	1.375	0.84	0.92 	 0.44	0.41	0.971	0.71	0.77 	 0.68	0.61	1.054	0.59	0.67 	 0.83	0.83	0.552	0.7	0.77 	 0.57	0.54	1.536	0.85	0.85 	 0.81	0.81	1.347	0.85	0.91 	 0.61	0.61	1.351	0.75	0.83 	 0.71	0.65	1.243	0.65	0.72 	 0.66	0.7	0.842	0.75	0.83 	 0.59	0.57	3.387	0.61	0.69 	 0.7	0.7	1.39	0.71	0.8
0.84	0.76	0.774	0.7	0.82 	 0.47	0.44	0.921	0.58	0.71 	 0.79	0.65	0.527	1.0	1.0 	 0.7	0.7	1.645	0.79	0.85 	 0.61	0.59	1.409	0.56	0.69 	 0.47	0.44	1.609	0.61	0.74 	 0.59	0.54	1.072	0.74	0.83 	 0.71	0.67	1.526	0.25	0.47 	 0.38	0.45	0.502	0.67	0.67 	 0.38	0.4	1.102	0.27	0.43 	 0.28	0.36	1.347	0.38	0.53 	 0.73	0.76	0.773	0.58	0.73 	 0.69	0.67	0.684	0.71	0.83 	 0.61	0.64	1.355	0.62	0.68 	 0.73	0.73	1.594	0.67	0.82 	 0.68	0.72	0.905	0.8	0.88 	 0.77	0.67	0.785	0.75	0.85 	 0.79	0.65	0.794	1.0	1.0 	 0.62	0.54	1.293	0.74	0.86 	 0.4	0.37	0.71	0.79	0.82 	 0.68	0.61	1.047	0.59	0.65 	 0.83	0.83	0.572	0.7	0.78 	 0.57	0.54	1.936	0.8	0.82 	 0.81	0.81	0.951	0.85	0.91 	 0.62	0.65	1.573	0.69	0.77 	 0.69	0.65	1.127	0.65	0.73 	 0.79	0.73	0.861	0.81	0.86 	 0.59	0.57	2.627	0.61	0.68 	 0.7	0.7	1.36	0.71	0.79
