s01-cb.csv(7)	 	 	 	  	 s02-dma.csv(12)	 	 	 	  	 s03-ima-artists.xml(4)	 	 	 	  	 s04-ima-artworks.xml(17)	 	 	 	  	 s05-met.json(14)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(14)	 	 	 	  	 s08-s-17-edited.xml(6)	 	 	 	  	 s09-s-18-artists.json(4)	 	 	 	  	 s10-s-18-artworks.json(11)	 	 	 	  	 s11-s-19-artists.json(6)	 	 	 	  	 s12-s-19-artworks.json(9)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(10)	 	 	 	  	 s14-s-california-african-american.json(9)	 	 	 	  	 s15-s-detroit-institute-of-art.json(13)	 	 	 	  	 s16-s-hammer.xml(5)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(12)	 	 	 	  	 s18-s-indianapolis-artists.xml(5)	 	 	 	  	 s19-s-indianapolis-artworks.xml(17)	 	 	 	  	 s20-s-lacma.xml(9)	 	 	 	  	 s21-s-met.json(28)	 	 	 	  	 s22-s-moca.xml(8)	 	 	 	  	 s23-s-national-portrait-gallery.json(18)	 	 	 	  	 s24-s-norton-simon.json(10)	 	 	 	  	 s25-s-oakland-museum-paintings.json(13)	 	 	 	  	 s26-s-san-francisco-moma.json(14)	 	 	 	  	 s27-s-the-huntington.json(12)	 	 	 	  	 s28-wildlife-art.csv(15)	 	 	 	  	 s29-gilcrease.csv(9)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.006	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.002	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0 	 0.0	0.0	0.061	0.07	0.07 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.0	0.0	0.0 	 0.0	0.0	0.001	0.0	0.0
0.83	0.62	0.699	0.86	0.86 	 0.71	0.36	0.131	0.67	0.67 	 1.0	0.75	0.123	0.75	0.75 	 0.71	0.21	0.104	0.65	0.65 	 0.83	0.24	0.122	0.5	0.5 	 0.57	0.17	0.129	0.5	0.5 	 0.57	0.21	0.14	0.57	0.57 	 0.5	0.2	0.122	0.67	0.67 	 0.5	0.5	0.127	0.75	0.75 	 0.83	0.31	0.099	0.64	0.64 	 0.5	0.5	0.089	0.5	0.5 	 0.83	0.42	0.095	0.78	0.78 	 0.67	0.31	0.099	0.5	0.5 	 0.8	0.29	0.1	0.56	0.56 	 0.86	0.35	0.096	0.62	0.62 	 0.8	0.5	0.097	0.8	0.8 	 0.57	0.25	0.096	0.58	0.58 	 1.0	0.83	0.097	0.8	0.8 	 0.71	0.21	0.092	0.65	0.65 	 0.6	0.25	0.148	0.56	0.56 	 0.67	0.11	0.11	0.29	0.29 	 0.67	0.36	0.099	0.75	0.75 	 0.57	0.17	0.142	0.5	0.5 	 0.6	0.23	0.092	0.7	0.7 	 0.83	0.28	0.095	0.62	0.62 	 0.43	0.14	0.126	0.57	0.57 	 0.86	0.4	0.098	0.75	0.75 	 0.83	0.26	0.094	0.53	0.53 	 0.71	0.45	0.128	0.78	0.78
0.86	0.75	0.253	0.86	0.86 	 0.62	0.36	0.127	0.75	0.75 	 1.0	1.0	0.121	1.0	1.0 	 0.82	0.38	0.111	0.76	0.76 	 0.78	0.33	0.131	0.64	0.64 	 0.67	0.25	0.143	0.72	0.72 	 0.78	0.37	0.15	0.79	0.79 	 0.67	0.2	0.131	0.67	0.67 	 0.25	0.25	0.111	0.25	0.25 	 0.67	0.25	0.103	0.55	0.55 	 0.6	0.5	0.116	0.83	0.83 	 0.75	0.5	0.107	0.89	0.89 	 0.89	0.62	0.103	0.8	0.8 	 0.86	0.43	0.108	0.56	0.56 	 0.82	0.53	0.103	0.85	0.85 	 0.8	0.5	0.101	0.8	0.8 	 0.6	0.38	0.097	0.67	0.67 	 1.0	1.0	0.091	1.0	1.0 	 0.82	0.38	0.101	0.76	0.76 	 0.86	0.5	0.138	0.78	0.78 	 0.62	0.14	0.106	0.43	0.43 	 0.75	0.55	0.099	0.75	0.75 	 0.67	0.25	0.093	0.72	0.72 	 0.88	0.54	0.094	0.8	0.8 	 0.88	0.39	0.09	0.69	0.69 	 0.67	0.29	0.117	0.71	0.71 	 0.89	0.53	0.103	0.83	0.83 	 0.62	0.26	0.09	0.4	0.4 	 0.62	0.45	0.097	0.78	0.78
0.86	0.75	0.487	0.86	0.86 	 0.67	0.71	1.003	0.83	0.83 	 1.0	1.0	0.117	1.0	1.0 	 0.67	0.25	0.133	0.53	0.53 	 0.67	0.29	0.11	0.57	0.57 	 0.62	0.21	0.136	0.56	0.56 	 0.62	0.26	0.112	0.64	0.64 	 0.67	0.2	0.138	0.33	0.33 	 0.25	0.25	0.134	0.75	0.75 	 0.67	0.25	0.108	0.36	0.36 	 0.6	0.5	0.108	0.83	0.83 	 0.5	0.33	0.129	0.67	0.67 	 0.88	0.54	0.107	0.7	0.7 	 0.71	0.36	0.136	0.56	0.56 	 0.82	0.53	0.11	0.77	0.77 	 0.6	0.38	0.099	0.6	0.6 	 0.7	0.44	0.107	0.75	0.75 	 0.75	0.5	0.088	0.8	0.8 	 0.67	0.25	0.136	0.53	0.53 	 0.67	0.33	0.109	0.67	0.67 	 0.56	0.14	0.124	0.43	0.43 	 0.75	0.55	0.105	0.75	0.75 	 0.62	0.21	0.096	0.56	0.56 	 0.71	0.38	0.104	0.7	0.7 	 0.75	0.33	0.102	0.69	0.69 	 0.56	0.24	0.098	0.64	0.64 	 0.9	0.6	0.214	0.92	0.92 	 0.62	0.26	0.098	0.53	0.53 	 0.57	0.36	0.121	0.67	0.67
1.0	1.0	0.444	1.0	1.0 	 0.62	0.71	1.054	0.92	0.92 	 1.0	1.0	0.109	1.0	1.0 	 0.72	0.54	0.945	0.71	0.71 	 0.81	0.62	0.871	0.64	0.64 	 0.61	0.46	1.075	0.72	0.72 	 0.5	0.42	0.874	0.64	0.64 	 0.5	0.5	0.355	0.67	0.67 	 0.25	0.25	0.166	0.75	0.75 	 0.62	0.5	0.565	0.64	0.64 	 0.12	0.17	0.137	0.17	0.17 	 0.71	0.83	0.67	0.89	0.89 	 0.92	0.85	0.512	0.9	0.9 	 0.42	0.36	0.849	0.44	0.44 	 0.94	0.94	0.555	1.0	1.0 	 0.75	0.75	0.254	1.0	1.0 	 0.87	0.81	0.67	0.83	0.83 	 1.0	1.0	0.107	1.0	1.0 	 0.92	0.92	0.671	1.0	1.0 	 0.67	0.67	0.545	0.78	0.78 	 0.53	0.22	0.593	0.43	0.43 	 0.6	0.55	0.508	0.75	0.75 	 0.61	0.46	0.923	0.72	0.72 	 0.55	0.46	0.744	0.7	0.7 	 0.65	0.61	0.872	0.77	0.77 	 0.53	0.43	1.037	0.79	0.79 	 0.65	0.73	0.591	0.83	0.83 	 0.47	0.37	0.589	0.47	0.47 	 0.46	0.55	0.422	0.78	0.78
0.7	0.88	0.888	0.86	0.86 	 0.62	0.71	0.938	0.92	0.92 	 1.0	1.0	0.294	1.0	1.0 	 0.68	0.54	0.702	0.76	0.76 	 0.81	0.62	0.573	0.64	0.64 	 0.65	0.46	1.041	0.72	0.72 	 0.44	0.42	0.723	0.57	0.57 	 0.5	0.5	0.409	0.67	0.67 	 0.0	0.0	0.183	0.5	0.5 	 0.46	0.38	0.587	0.45	0.45 	 0.0	0.0	0.171	0.0	0.0 	 0.69	0.75	0.85	0.89	0.89 	 0.92	0.85	0.517	0.9	0.9 	 0.42	0.36	0.69	0.44	0.44 	 0.94	0.94	0.72	1.0	1.0 	 0.62	0.62	0.171	0.8	0.8 	 0.87	0.81	0.883	0.83	0.83 	 1.0	1.0	0.112	1.0	1.0 	 0.92	0.92	0.876	1.0	1.0 	 0.82	0.75	0.542	0.89	0.89 	 0.53	0.22	0.651	0.43	0.43 	 0.5	0.45	0.587	0.75	0.75 	 0.65	0.46	0.879	0.72	0.72 	 0.5	0.38	0.595	0.8	0.8 	 0.56	0.5	0.877	0.69	0.69 	 0.53	0.43	0.536	0.79	0.79 	 0.69	0.73	0.676	0.92	0.92 	 0.53	0.53	0.77	0.53	0.53 	 0.46	0.55	0.433	0.78	0.78
0.7	0.88	0.689	0.86	0.86 	 0.62	0.71	0.952	0.92	0.92 	 1.0	1.0	0.547	1.0	1.0 	 0.59	0.54	0.648	0.71	0.71 	 0.81	0.62	0.641	0.64	0.64 	 0.65	0.46	0.922	0.72	0.72 	 0.5	0.53	1.184	0.64	0.64 	 0.64	0.7	0.43	0.83	0.83 	 0.17	0.25	0.291	0.5	0.5 	 0.55	0.38	0.478	0.55	0.55 	 0.12	0.17	0.3	0.33	0.33 	 0.69	0.75	0.932	0.89	0.89 	 0.92	0.92	0.863	1.0	1.0 	 0.6	0.43	0.756	0.56	0.56 	 0.94	0.94	0.726	1.0	1.0 	 0.62	0.62	0.451	0.8	0.8 	 0.67	0.75	0.807	0.83	0.83 	 1.0	1.0	0.474	1.0	1.0 	 0.92	0.92	1.125	1.0	1.0 	 0.58	0.58	0.892	0.78	0.78 	 0.5	0.24	0.675	0.43	0.43 	 0.5	0.45	0.517	0.75	0.75 	 0.87	0.83	0.942	0.94	0.94 	 0.47	0.54	1.003	0.9	0.9 	 0.79	0.83	0.765	0.92	0.92 	 0.53	0.48	1.223	0.86	0.86 	 0.88	0.93	0.954	1.0	1.0 	 0.59	0.53	0.766	0.6	0.6 	 0.38	0.45	0.618	0.67	0.67
0.7	0.88	0.71	0.86	0.86 	 0.62	0.71	0.909	0.92	0.92 	 1.0	1.0	0.313	1.0	1.0 	 0.65	0.54	1.303	0.76	0.76 	 0.81	0.62	0.563	0.64	0.64 	 0.65	0.46	1.295	0.72	0.72 	 0.59	0.53	0.776	0.57	0.57 	 0.82	0.9	0.835	1.0	1.0 	 0.0	0.0	0.24	0.0	0.0 	 0.5	0.38	0.515	0.55	0.55 	 0.12	0.17	0.255	0.33	0.33 	 0.85	0.92	0.845	1.0	1.0 	 0.92	0.92	0.77	1.0	1.0 	 0.57	0.57	0.776	0.67	0.67 	 0.83	0.88	0.757	1.0	1.0 	 0.75	0.75	0.751	1.0	1.0 	 0.88	0.94	0.669	0.92	0.92 	 1.0	1.0	0.474	1.0	1.0 	 0.92	0.92	0.827	1.0	1.0 	 0.46	0.5	0.851	0.67	0.67 	 0.5	0.32	0.73	0.57	0.57 	 0.73	0.73	0.902	0.88	0.88 	 0.71	0.71	1.162	0.94	0.94 	 0.53	0.62	1.526	0.9	0.9 	 0.68	0.72	0.667	0.92	0.92 	 0.6	0.57	1.421	0.79	0.79 	 0.81	0.87	0.956	0.92	0.92 	 0.56	0.53	0.739	0.6	0.6 	 0.46	0.55	0.769	0.78	0.78
0.7	0.88	0.886	0.86	0.86 	 0.62	0.71	0.917	0.92	0.92 	 1.0	1.0	0.304	1.0	1.0 	 0.65	0.54	1.386	0.76	0.76 	 0.81	0.62	0.576	0.64	0.64 	 0.65	0.46	1.035	0.72	0.72 	 0.61	0.58	1.215	0.57	0.57 	 0.82	0.9	0.764	1.0	1.0 	 0.14	0.25	0.228	0.25	0.25 	 0.5	0.38	0.561	0.55	0.55 	 0.0	0.0	0.161	0.17	0.17 	 0.75	0.75	0.839	0.89	0.89 	 0.92	0.92	0.784	1.0	1.0 	 0.55	0.43	0.677	0.56	0.56 	 0.83	0.88	0.733	1.0	1.0 	 0.5	0.5	0.399	0.8	0.8 	 0.82	0.88	0.682	0.92	0.92 	 1.0	1.0	0.467	1.0	1.0 	 0.92	0.92	0.843	1.0	1.0 	 0.46	0.5	0.849	0.67	0.67 	 0.5	0.32	0.713	0.57	0.57 	 0.42	0.45	0.572	0.62	0.62 	 0.71	0.71	1.15	0.94	0.94 	 0.47	0.54	0.704	0.9	0.9 	 0.65	0.72	0.718	0.92	0.92 	 0.6	0.57	1.438	0.79	0.79 	 0.75	0.8	0.939	0.92	0.92 	 0.56	0.53	0.749	0.6	0.6 	 0.46	0.55	0.741	0.78	0.78
0.88	0.88	0.881	1.0	1.0 	 0.47	0.57	1.146	0.83	0.83 	 0.5	0.75	0.359	0.75	0.75 	 0.65	0.54	1.211	0.76	0.76 	 0.81	0.62	0.594	0.64	0.64 	 0.67	0.5	0.837	0.78	0.78 	 0.71	0.63	0.994	0.71	0.71 	 0.75	0.6	0.208	0.83	0.83 	 0.14	0.25	0.205	0.25	0.25 	 0.5	0.44	2.05	0.55	0.55 	 0.0	0.0	0.255	0.17	0.17 	 0.75	0.75	0.943	0.89	0.89 	 0.92	0.92	0.81	1.0	1.0 	 0.57	0.57	0.571	0.67	0.67 	 0.83	0.88	0.744	1.0	1.0 	 0.5	0.5	0.395	0.8	0.8 	 0.88	0.94	0.664	0.92	0.92 	 1.0	1.0	0.487	1.0	1.0 	 0.92	0.92	0.832	1.0	1.0 	 0.46	0.5	0.871	0.67	0.67 	 0.5	0.32	1.054	0.57	0.57 	 0.42	0.45	0.514	0.62	0.62 	 0.71	0.71	1.1	0.94	0.94 	 0.47	0.54	0.721	0.9	0.9 	 0.65	0.72	0.731	0.92	0.92 	 0.6	0.57	1.443	0.79	0.79 	 0.75	0.8	1.092	0.92	0.92 	 0.56	0.53	0.765	0.6	0.6 	 0.46	0.55	0.76	0.78	0.78
0.56	0.62	0.662	1.0	1.0 	 0.44	0.5	1.071	0.75	0.75 	 0.5	0.75	0.336	0.75	0.75 	 0.57	0.5	1.186	0.71	0.71 	 0.69	0.52	0.897	0.5	0.5 	 0.63	0.5	0.677	0.78	0.78 	 0.61	0.58	1.134	0.71	0.71 	 0.6	0.6	0.286	0.67	0.67 	 0.17	0.25	0.265	0.75	0.75 	 0.47	0.44	0.684	0.55	0.55 	 0.22	0.33	0.236	0.5	0.5 	 0.67	0.67	0.873	0.78	0.78 	 0.92	0.92	0.945	1.0	1.0 	 0.54	0.5	0.673	0.56	0.56 	 0.63	0.71	0.895	0.92	0.92 	 0.5	0.5	0.403	0.8	0.8 	 0.82	0.88	0.704	0.92	0.92 	 0.44	0.67	0.377	0.6	0.6 	 0.9	0.79	1.024	0.82	0.82 	 0.42	0.42	0.903	0.44	0.44 	 0.55	0.3	0.727	0.5	0.5 	 0.58	0.64	0.884	0.75	0.75 	 0.75	0.75	1.135	0.94	0.94 	 0.64	0.69	1.239	1.0	1.0 	 0.79	0.83	0.673	0.92	0.92 	 0.53	0.48	1.348	0.71	0.71 	 0.75	0.8	0.986	0.92	0.92 	 0.61	0.58	0.939	0.6	0.6 	 0.38	0.45	0.637	0.78	0.78
0.56	0.62	1.049	1.0	1.0 	 0.44	0.5	1.109	0.75	0.75 	 0.5	0.75	0.341	0.75	0.75 	 0.65	0.54	1.114	0.76	0.76 	 0.75	0.57	0.939	0.64	0.64 	 0.65	0.46	0.859	0.72	0.72 	 0.61	0.58	1.166	0.71	0.71 	 0.75	0.6	0.22	0.83	0.83 	 0.17	0.25	0.255	0.75	0.75 	 0.47	0.44	0.747	0.45	0.45 	 0.22	0.33	0.259	0.33	0.33 	 0.62	0.67	0.763	0.78	0.78 	 0.92	0.92	0.993	1.0	1.0 	 0.54	0.5	0.725	0.56	0.56 	 0.61	0.65	0.694	0.85	0.85 	 0.75	0.75	0.773	1.0	1.0 	 0.76	0.81	0.717	0.92	0.92 	 0.71	0.83	0.553	0.8	0.8 	 0.74	0.71	1.207	0.76	0.76 	 0.42	0.42	0.827	0.56	0.56 	 0.47	0.24	0.671	0.39	0.39 	 0.73	0.73	0.891	0.88	0.88 	 0.71	0.71	1.106	0.89	0.89 	 0.64	0.69	0.778	1.0	1.0 	 0.74	0.78	0.683	0.92	0.92 	 0.61	0.52	1.301	0.79	0.79 	 0.69	0.73	0.957	0.92	0.92 	 0.58	0.58	0.938	0.6	0.6 	 0.38	0.45	0.69	0.67	0.67
0.6	0.75	0.586	0.86	0.86 	 0.44	0.5	1.134	0.75	0.75 	 0.5	0.75	0.384	0.75	0.75 	 0.65	0.54	1.418	0.76	0.76 	 0.81	0.62	0.897	0.64	0.64 	 0.61	0.46	1.115	0.72	0.72 	 0.61	0.58	1.123	0.71	0.71 	 0.75	0.6	0.228	0.83	0.83 	 0.17	0.25	0.278	0.75	0.75 	 0.53	0.5	0.695	0.55	0.55 	 0.22	0.33	0.316	0.33	0.33 	 0.62	0.67	0.799	0.78	0.78 	 0.92	0.92	0.958	1.0	1.0 	 0.57	0.57	0.873	0.67	0.67 	 0.61	0.65	0.689	0.85	0.85 	 0.75	0.75	0.719	1.0	1.0 	 0.72	0.81	0.921	1.0	1.0 	 0.44	0.67	0.323	0.6	0.6 	 0.65	0.62	0.857	0.59	0.59 	 0.55	0.5	0.965	0.67	0.67 	 0.45	0.24	0.709	0.43	0.43 	 0.73	0.73	0.97	0.88	0.88 	 0.75	0.75	1.069	0.94	0.94 	 0.47	0.54	0.706	0.9	0.9 	 0.63	0.67	0.717	0.85	0.85 	 0.57	0.57	1.253	1.0	1.0 	 0.65	0.73	0.938	0.83	0.83 	 0.65	0.58	0.811	0.6	0.6 	 0.54	0.64	0.975	0.89	0.89
